num,score
CUHKPQ6514,1
SPAQ09037,0.3083
FA90,0.729372231
PSA2822,1
GLAMOUR2213,1
CUHKPQ16766,0
1224591,0.38409
CUHKPQ26834,0
139738,0.37366548
113464,0.321111111
111547,0.825
JX624,0
8482,0.397101449
SPAQ01643,0.3018
326410,0.249618321
PSA979,1
283499,0.426296296
JX841,0
CUHKPQ7753,1
NG4029,1
CUHKPQ8341,1
49418,0.323790323
CUHKPQ1932,1
CUHKPQ22436,0
CUHKPQ7188,1
CUHKPQ6749,1
693782,0.31878453
NG4043,1
NG2142,1
PN4075402,0.75
PN4016086,0.767
CUHKPQ4869,1
PN4088245,0.902
319788,0.362195122
CUHKPQ11618,0
CUHKPQ7471,1
PN7002240,0.812
PSA996,1
PN4024723,0.763
CUHKPQ20270,0
CUHKPQ14386,0
CUHKPQ5505,1
NG3782,1
60921,0.708960573
CUHKPQ21176,0
SPAQ07491,0.3111
CUHKPQ7980,1
PSA2595,1
473561,0.455555556
CUHKPQ12183,0
FA102,0.78880318
CUHKPQ14101,0
PN4005222,0.853
CUHKPQ2376,1
5016,0.395901639
CUHKPQ15477,0
612371,0.348087432
OUTDOOR753,1
GLAMOUR872,1
CUHKPQ18794,0
PN4023487,0.4
CUHKPQ12363,0
CUHKPQ14673,0
CUHKPQ23829,0
CUHKPQ8602,1
CUHKPQ21708,0
PN7002739,0.96
PN922876,0.743
535992,0.441304348
CUHKPQ3389,1
169945,0.382320442
689698,0.387890625
CUHKPQ28351,0
CUHKPQ2668,1
204888,0.458293839
CUHKPQ24614,0
NG3860,1
199589,0.354201681
16630,0.724880383
GLAMOUR1732,1
CUHKPQ7570,1
87149,0.450480769
PN4070322,0.792
772265,0.660714286
SPAQ03720,0.2646
PORTRAIT3560,1
PN4004909,0.733
CUHKPQ24133,0
SPAQ00434,0.325
PSA3227,1
PN4054081,0.797
PN4049997,0.715
PORTRAIT2423,1
CUHKPQ13000,0
770912,0.698073218
PORTRAIT2180,1
AF1688,0.8533334
PN3129168,0.717
NG2560,1
228068,0.454929577
PORTRAIT3353,1
CUHKPQ21019,0
CUHKPQ22554,0
PN4047685,0.737
379341,0.456481481
CUHKPQ24665,0
SPAQ09900,0.346
1826,0.365137615
CUHKPQ25715,0
CUHKPQ25570,0
AF917,0.2866666
CUHKPQ13736,0
CUHKPQ10337,1
CUHKPQ28331,0
CUHKPQ20447,0
113652,0.733043478
SPAQ05289,0.2656
PN3046677,0.708
CUHKPQ20349,0
CUHKPQ5945,1
1172329,0.74815
CUHKPQ26403,0
CUHKPQ12724,0
CUHKPQ25988,0
PORTRAIT2728,1
609952,0.370890411
522305,0.447530864
AF912,0.7566666
849578,0.374096386
SPAQ06616,0.2517
PN1682261,0.767
GLAMOUR1015,1
PSA1411,1
CUHKPQ3100,1
92303,0.394785276
CUHKPQ15035,0
CUHKPQ21771,0
CUHKPQ15518,0
CUHKPQ3292,1
92399,0.386786787
GLAMOUR1749,1
SPAQ04754,0.3414
CUHKPQ22082,0
SPAQ02397,0.1544
JX702,0
SPAQ09704,0.3325
CUHKPQ4583,1
246812,0.372142857
CUHKPQ6621,1
PN4057190,0.75
CUHKPQ13274,0
1242322,0.7413
AF1968,0.3633334
792278,0.41541502
SPAQ08797,0.17
SPAQ04063,0.2136
332157,0.391666667
OUTDOOR1492,1
876084,0.428676471
CUHKPQ13629,0
243153,0.745327103
PN2349765,0.8
CUHKPQ26931,0
CUHKPQ4292,1
PSA2828,1
CUHKPQ910,1
827465,0.396568627
OUTDOOR558,1
CUHKPQ22468,0
PN4054843,0.712
CUHKPQ10571,0
CUHKPQ26819,0
PN697861,0.76
PN2167416,0.763
NG2492,1
178587,0.458649789
CUHKPQ15606,0
SPAQ04306,0.2491
JX726,0
629131,0.727301587
PN4015070,0.748
CUHKPQ14716,0
CUHKPQ18303,0
CUHKPQ11612,0
648308,0.380821918
PN4012833,0.727
254978,0.386486486
1197818,0.744
CUHKPQ13451,0
44380,0.457021277
1426,0.265346535
CUHKPQ22724,0
NG1206,1
NG1682,1
CUHKPQ13974,0
CUHKPQ29054,0
CUHKPQ26785,0
CUHKPQ24413,0
PN4051198,0.73
1165684,0.66129
CUHKPQ11683,0
CUHKPQ22904,0
851078,0.69068323
CUHKPQ29032,0
127662,0.416062176
8224,0.459143969
CUHKPQ12702,0
CUHKPQ26843,0
NG3899,1
1249458,0.70769
129025,0.455483871
PN4057032,0.727
SPAQ07815,0.2867
CUHKPQ5105,1
298459,0.450915751
CUHKPQ5046,1
713535,0.739247312
CUHKPQ20263,0
CUHKPQ15879,0
PN4062532,0.892
CUHKPQ11591,0
210752,0.420089286
CUHKPQ19981,0
150251,0.343902439
CUHKPQ26770,0
1185399,0.38103
CUHKPQ2247,1
PN4007772,0.705
445872,0.326160338
CUHKPQ5683,1
CUHKPQ19294,0
CUHKPQ26750,0
CUHKPQ1431,1
PORTRAIT1300,1
CUHKPQ17224,0
29599,0.741007194
AM1638,0.84
336066,0.7
1211757,0.68814
PSA2685,1
PN2889274,0.77
CUHKPQ9602,1
CUHKPQ28967,0
CUHKPQ13082,0
CUHKPQ25613,0
CUHKPQ3183,1
CUHKPQ21302,0
349274,0.432369942
OUTDOOR1812,1
GLAMOUR896,1
361944,0.337244898
CUHKPQ27808,0
CUHKPQ20622,0
SPAQ10062,0.2608
PN4035637,0.712
NG2160,1
PSA994,1
CUHKPQ24742,0
742415,0.332692308
CUHKPQ19618,0
870130,0.681944444
PSA1918,1
CUHKPQ10809,0
CUHKPQ16154,0
PORTRAIT1363,1
CUHKPQ19491,0
PN7010753,0.932
NG2192,1
CUHKPQ14241,0
NG3992,1
PN4030819,0.718
622228,0.458080808
CUHKPQ394,1
281529,0.375736961
CUHKPQ22358,0
89290,0.459863946
PN4050586,0.778
130739,0.341263941
PORTRAIT2926,1
CUHKPQ2104,1
PN4036333,0.822
PN4025409,0.925
18156,0.347345133
NG2592,1
PSA1526,1
PN1722174,0.735
CUHKPQ25633,0
CUHKPQ24513,0
1162157,0.38657
303,0.370629371
22152,0.354761905
954434,0.669078947
626674,0.44502924
PN2286378,0.715
CUHKPQ15939,0
366780,0.664102564
94921,0.33930131
200574,0.459868421
JX308,1
PSA3316,1
OUTDOOR1805,1
PN893549,0.712
121765,0.248310811
SPAQ01937,0.19
PORTRAIT2075,1
CUHKPQ24508,0
CUHKPQ21782,0
PORTRAIT2880,1
229038,0.440590406
PN921661,0.833
CUHKPQ28166,0
CUHKPQ8956,1
CUHKPQ9954,1
SPAQ02188,0.1767
844174,0.68
CUHKPQ13374,0
348120,0.454296875
SPAQ04451,0.3756
CUHKPQ10179,1
GLAMOUR2207,1
PN970243,0.827
CUHKPQ10730,0
CUHKPQ1501,1
CUHKPQ11315,0
PORTRAIT1060,1
GLAMOUR742,1
251530,0.457370518
901987,0.352702703
SPAQ07915,0.245
843,0.727363184
PORTRAIT2583,1
917815,0.704651163
815299,0.673333333
CUHKPQ14934,0
PN4076458,0.727
CUHKPQ24800,0
PN2598539,0.715
8943,0.277911647
617472,0.445238095
OUTDOOR522,1
AM264,0.3066666
CUHKPQ3681,1
PORTRAIT3139,1
CUHKPQ3439,1
PN2572405,0.767
PORTRAIT1852,1
PN930919,0.822
NG3903,1
PSA2633,1
90749,0.383552632
JX716,0
PORTRAIT2086,1
GLAMOUR2635,1
769917,0.384615385
CUHKPQ4925,1
CUHKPQ3299,1
318505,0.393087558
90108,0.33480663
PN4063144,0.718
CUHKPQ14634,0
SPAQ02941,0.254
NG2693,1
CUHKPQ20109,0
53302,0.442372881
CUHKPQ27384,0
CUHKPQ27008,0
CUHKPQ704,1
CUHKPQ23898,0
439771,0.353370787
635085,0.713061224
PN4033623,0.853
PORTRAIT3074,1
PORTRAIT1249,1
CUHKPQ20880,0
CUHKPQ13840,0
NG2371,1
PN4038119,0.728
PORTRAIT1317,1
SPAQ06561,0.1414
1228119,0.72821
CUHKPQ11680,0
93995,0.432758621
CUHKPQ15978,0
JX271,1
18838,0.361870504
230761,0.351526718
PN7009687,0.758
SPAQ07252,0.3267
SPAQ00712,0.0882
PSA2716,1
NG990,1
CUHKPQ25260,0
43636,0.32345679
86549,0.270250896
602439,0.732258065
466316,0.367005076
CUHKPQ25607,0
CUHKPQ10865,0
PSA3044,1
571678,0.779090909
587806,0.705806452
NG1632,1
332528,0.387666667
SPAQ02714,0.2346
NG2902,1
PORTRAIT4191,1
667440,0.44
PN3014179,0.675
763201,0.28671875
PN2694001,0.75
SPAQ08335,0.35
CF580,0.8566666
CUHKPQ28741,0
SPAQ07794,0.23
PORTRAIT1006,1
CUHKPQ1088,1
85016,0.338028169
675737,0.332
OUTDOOR1493,1
PSA775,1
PN4075248,0.757
PSA2583,1
CUHKPQ18244,0
NG3979,1
CUHKPQ29350,0
CUHKPQ29445,0
209566,0.439325843
PORTRAIT2066,1
NG1048,1
337824,0.390140845
CUHKPQ7775,1
PN4011157,0.805
JX591,0
PORTRAIT2595,1
154133,0.77486911
PORTRAIT2084,1
FA308,0.424584713
CUHKPQ9148,1
CUHKPQ29380,0
197587,0.39
CUHKPQ8752,1
CUHKPQ14440,0
CUHKPQ5090,1
127346,0.717766497
PORTRAIT1259,1
CUHKPQ6210,1
CUHKPQ18118,0
CUHKPQ19888,0
202209,0.750531915
286048,0.681818182
CUHKPQ18482,0
SPAQ02337,0.319
PN4041166,0.9
PSA2487,1
CUHKPQ24335,0
SPAQ08789,0.334
444636,0.678651685
95321,0.32034632
PN3148859,0.875
CUHKPQ14084,0
134704,0.715319149
9345,0.716304348
CUHKPQ12526,0
CUHKPQ22316,0
CUHKPQ9791,1
316352,0.313385827
CUHKPQ17962,0
SPAQ03658,0.28
PN4041724,0.705
PSA2946,1
646379,0.353811659
NG3557,1
GLAMOUR1333,1
2478,0.396363636
CUHKPQ14728,0
PN4018172,0.73
CUHKPQ13270,0
CUHKPQ20066,0
PN4041931,0.827
CUHKPQ26118,0
PORTRAIT3822,1
361600,0.447263682
CUHKPQ14668,0
GLAMOUR1939,1
CUHKPQ7958,1
CUHKPQ21299,0
PSA948,1
CUHKPQ11925,0
AF1388,0.8333334
CUHKPQ16338,0
AM31,0.7766666
483773,0.457142857
CUHKPQ25384,0
CUHKPQ4874,1
17670,0.371551724
CUHKPQ18900,0
805299,0.706593407
SPAQ10923,0.1957
800939,0.389308176
CUHKPQ16703,0
GLAMOUR1166,1
NG1047,1
PORTRAIT4060,1
CUHKPQ20206,0
CUHKPQ24002,0
CUHKPQ22519,0
PN4043925,0.667
SPAQ04969,0.0814
PN4005117,0.717
41212,0.37
139403,0.456272401
689983,0.403870968
PN7009327,0.82
NG3518,1
CUHKPQ27084,0
PSA1229,1
159006,0.420233463
916303,0.738028169
CUHKPQ26525,0
PSA3446,1
CUHKPQ22708,0
CUHKPQ21997,0
CUHKPQ17014,0
CUHKPQ23909,0
CUHKPQ2994,1
657714,0.253205128
CUHKPQ26083,0
498973,0.754639175
CUHKPQ7405,1
PN4080826,0.717
738508,0.31483871
CUHKPQ24269,0
JX621,0
CM490,0.6833334
408353,0.267037037
CUHKPQ17871,0
76094,0.355149502
SPAQ01034,0.2113
105871,0.347111111
PN4067804,0.667
PN7009541,0.843
AF1985,0.8366666
617258,0.451461988
CUHKPQ10377,1
GLAMOUR1257,1
CUHKPQ16387,0
NG1210,1
PN4073065,0.7
CUHKPQ8515,1
CUHKPQ17874,0
CUHKPQ13795,0
PN4007356,0.727
CUHKPQ19652,0
FA412,0.416279782
797783,0.705333333
PN4011706,0.782
CUHKPQ11558,0
CUHKPQ23410,0
PORTRAIT1596,1
CUHKPQ29430,0
PSA1109,1
PN485635,0.815
PORTRAIT3386,1
PORTRAIT2195,1
CUHKPQ2679,1
CUHKPQ13796,0
CUHKPQ5549,1
CUHKPQ25391,0
PN4061245,0.782
713445,0.399052133
CUHKPQ26950,0
851515,0.401860465
858600,0.673
NG2042,1
SPAQ00379,0.2221
1188637,0.39552
PN4059918,0.667
CUHKPQ15199,0
OUTDOOR896,1
CUHKPQ12674,0
1172565,0.70116
CUHKPQ12596,0
339124,0.717989418
22978,0.38028169
PN4011490,0.712
NG2065,1
PN2458864,0.802
CUHKPQ27460,0
CUHKPQ12341,0
123375,0.457394366
PN4052073,0.827
PSA1578,1
CUHKPQ22240,0
CUHKPQ1814,1
CUHKPQ2197,1
SPAQ06632,0.31
CM665,0.8966666
CUHKPQ28179,0
NG1424,1
PN3013903,0.75
CUHKPQ20683,0
CUHKPQ15268,0
PN4047986,0.902
CUHKPQ14188,0
SPAQ08679,0.378
CUHKPQ25208,0
144962,0.393910256
PN2924200,0.805
CUHKPQ16807,0
694120,0.459375
CUHKPQ6489,1
898340,0.691111111
CUHKPQ19523,0
CUHKPQ18346,0
GLAMOUR737,1
1154831,0.32857
PORTRAIT1422,1
PORTRAIT2446,1
CUHKPQ22403,0
CUHKPQ18984,0
SPAQ10456,0.095
CUHKPQ20340,0
NG931,1
655908,0.365625
PN2670316,0.745
CUHKPQ20616,0
CUHKPQ17276,0
PSA2465,1
PN4042772,0.792
CUHKPQ3047,1
396078,0.707167235
404173,0.393491124
NG2292,1
986491,0.71638
PORTRAIT2328,1
PSA3390,1
CUHKPQ5333,1
735697,0.699259259
OUTDOOR1695,1
CUHKPQ22157,0
CUHKPQ6345,1
CUHKPQ22287,0
843699,0.393939394
CUHKPQ22117,0
CUHKPQ20815,0
1204712,0.71373
PN4063734,0.713
NG3483,1
GLAMOUR874,1
CUHKPQ23826,0
NG1180,1
304513,0.384030418
14873,0.425414365
31027,0.394468085
CUHKPQ5936,1
AF1522,0.4
PSA1211,1
CUHKPQ2905,1
PORTRAIT3964,1
CUHKPQ19208,0
CUHKPQ14845,0
969588,0.74302
852690,0.418224299
OUTDOOR1196,1
CUHKPQ18812,0
316405,0.381818182
PORTRAIT1094,1
CUHKPQ17991,0
946077,0.726966292
PSA1435,1
CUHKPQ16025,0
CUHKPQ4967,1
PORTRAIT1791,1
CUHKPQ20818,0
1186638,0.73516
CUHKPQ26338,0
631262,0.716988417
PN4003116,0.718
CUHKPQ7705,1
CUHKPQ11072,0
SPAQ03817,0.385
SPAQ06945,0.262
PN4056526,0.778
CUHKPQ24268,0
PN4073187,0.742
416191,0.767307692
7920,0.342335766
CUHKPQ1252,1
CUHKPQ21216,0
CUHKPQ16170,0
CUHKPQ12189,0
PSA1895,1
CUHKPQ5212,1
CUHKPQ10316,1
CUHKPQ7639,1
CUHKPQ11386,0
CUHKPQ24934,0
132737,0.384660767
CUHKPQ11459,0
933248,0.3875
PORTRAIT2511,1
CUHKPQ12461,0
1175370,0.45325
CUHKPQ24629,0
CUHKPQ18962,0
CUHKPQ18972,0
495616,0.422834646
CUHKPQ3412,1
31046,0.382832618
PN7006156,0.833
SPAQ04861,0.325
244676,0.391039427
318050,0.425700935
CUHKPQ28169,0
CUHKPQ27119,0
1197516,0.32917
CUHKPQ2804,1
PN771706,0.702
CUHKPQ28923,0
PN4063696,0.778
CM713,0.8466666
JX754,0
703272,0.350877193
CUHKPQ13949,0
PORTRAIT4070,1
CUHKPQ14009,0
165367,0.33490566
CUHKPQ6555,1
PSA2944,1
CUHKPQ13724,0
CUHKPQ16367,0
725293,0.251
CUHKPQ1949,1
SPAQ00932,0.3109
CUHKPQ19604,0
CUHKPQ23958,0
PN4003090,0.808
PSA2538,1
850056,0.8
CUHKPQ12994,0
351062,0.376727273
100504,0.330868167
250956,0.704975124
CM748,0.7433334
713542,0.763874346
CUHKPQ9839,1
CUHKPQ22015,0
414223,0.365116279
764476,0.360887097
820494,0.4
893947,0.397619048
NG3092,1
72489,0.385057471
654699,0.413227513
774357,0.367804878
420172,0.349295775
CUHKPQ8919,1
PORTRAIT3223,1
17468,0.346082949
CUHKPQ22658,0
CUHKPQ28455,0
PN4030620,0.823
PN2902178,0.732
CUHKPQ4095,1
PN4056139,0.892
PORTRAIT3030,1
PORTRAIT3718,1
CUHKPQ16044,0
CUHKPQ5109,1
CM4,0.8633334
243795,0.706363636
CUHKPQ28792,0
949420,0.729107981
CUHKPQ6416,1
CUHKPQ20648,0
466932,0.450310559
PORTRAIT2041,1
SPAQ10033,0.22
CUHKPQ19521,0
924384,0.380232558
PORTRAIT1556,1
595365,0.731797235
SPAQ08587,0.2025
153854,0.422543353
CUHKPQ16992,0
CUHKPQ26191,0
CUHKPQ2404,1
CUHKPQ22045,0
